role,action_xmlid,action_name,res_model,view_mode,has_groups,groups_xmlids,visible
demo_pm,base.action_decimal_precision_form,Decimal Accuracy,decimal.precision,"tree,form",0,,1
demo_pm,base.ir_sequence_actions,Actions,ir.actions.actions,"tree,form",0,,1
demo_pm,base.ir_action_report,Reports,ir.actions.report,"tree,form",0,,1
demo_pm,base.ir_action_window,Window Actions,ir.actions.act_window,"tree,form",0,,1
demo_pm,base.ir_client_actions_report,Client Actions,ir.actions.client,"tree,form",0,,1
demo_pm,base.action_server_action,Server Actions,ir.actions.server,"tree,form",0,,1
demo_pm,base.act_ir_actions_todo_form,Configuration Wizards,ir.actions.todo,"tree,form",0,,1
demo_pm,base.action_asset,Assets,ir.asset,"tree,form",0,,1
demo_pm,base.ir_config_list_action,System Parameters,ir.config_parameter,"tree,form",0,,1
demo_pm,base.ir_cron_act,Scheduled Actions,ir.cron,"tree,form,calendar",0,,1
demo_pm,base.ir_cron_trigger_action,Scheduled Actions Triggers,ir.cron.trigger,"tree,form",0,,1
demo_pm,base.actions_ir_filters_view,User-defined Filters,ir.filters,"tree,form",0,,1
demo_pm,base.action_model_model,Models,ir.model,"tree,form",0,,1
demo_pm,base.action_model_fields,Fields,ir.model.fields,"tree,form",0,,1
demo_pm,base.action_model_fields_selection,Fields Selection,ir.model.fields.selection,"tree,form",0,,1
demo_pm,base.ir_access_act,Access Rights,ir.model.access,"tree,form",0,,1
demo_pm,base.action_attachment,Attachments,ir.attachment,"kanban,tree,form",0,,1
demo_pm,base.action_rule,Record Rules,ir.rule,"tree,form",0,,1
demo_pm,base.ir_sequence_form,Sequences,ir.sequence,"tree,form",0,,1
demo_pm,base.grant_menu_access,Menu Items,ir.ui.menu,"tree,form",0,,1
demo_pm,base.action_ui_view,Views,ir.ui.view,"tree,form",0,,1
demo_pm,base.action_ui_view_custom,Customized Views,ir.ui.view.custom,"tree,form",0,,1
demo_pm,base.ir_default_menu_action,User-defined Defaults,ir.default,"tree,form",0,,1
demo_pm,base.ir_logging_all_act,Logging,ir.logging,"tree,form",0,,1
demo_pm,base.open_module_tree,Apps,ir.module.module,"kanban,tree,form",0,,1
demo_pm,base.action_view_base_import_language,Import Translation,base.language.import,form,0,,1
demo_pm,base.action_wizard_lang_export,Export Translation,base.language.export,form,0,,1
demo_pm,base.action_menu_ir_profile,Ir profile,ir.profile,"tree,form",0,,1
demo_pm,base.action_res_company_form,Companies,res.company,"tree,kanban,form",0,,1
demo_pm,base.res_lang_act_window,Languages,res.lang,"tree,form",0,,1
demo_pm,base.action_currency_form,Currencies,res.currency,"tree,kanban,form",0,,1
demo_pm,base.action_res_groups,Groups,res.groups,"tree,form",1,smart_construction_core.group_sc_cap_config_admin;smart_construction_core.group_sc_super_admin,0
demo_pm,base.action_res_users,Users,res.users,"tree,kanban,form",0,,1
demo_pm,base.ir_property_form,Company Properties,ir.property,"tree,form",0,,1
demo_pm,base_setup.action_general_configuration,Settings,res.config.settings,form,1,smart_construction_core.group_sc_super_admin,0
demo_pm,web_tour.edit_tour_action,Tours,web_tour.tour,"tree,form",0,,1
demo_pm,iap.iap_account_action,IAP Account,iap.account,"tree,form",0,,1
demo_pm,uom.product_uom_categ_form_action,Units of Measure Categories,uom.category,"tree,form",0,,1
demo_pm,onboarding.action_view_onboarding_onboarding,Onboardings,onboarding.onboarding,"tree,form",0,,1
demo_pm,onboarding.action_view_onboarding_step,Onboarding Steps,onboarding.onboarding.step,"tree,form",0,,1
demo_pm,resource.action_resource_resource_tree,Resources,resource.resource,"tree,form",0,,1
demo_pm,resource.action_resource_calendar_leave_tree,Resource Time Off,resource.calendar.leaves,"tree,form,calendar",0,,1
demo_pm,resource.action_resource_calendar_form,Working Schedules,resource.calendar,"tree,form",0,,1
demo_pm,mail.action_view_message_subtype,Subtypes,mail.message.subtype,"tree,form",0,,1
demo_pm,mail.action_view_mail_tracking_value,Tracking Values,mail.tracking.value,"tree,form",0,,1
demo_pm,mail.action_view_mail_message,Messages,mail.message,"tree,form",0,,1
demo_pm,mail.mail_message_schedule_action,Scheduled Messages,mail.message.schedule,"tree,form",0,,1
demo_pm,mail.action_view_mail_mail,Emails,mail.mail,"tree,form",0,,1
demo_pm,mail.action_ice_servers,ICE servers,mail.ice.server,"tree,form",0,,1
demo_pm,mail.discuss_channel_rtc_session_action,RTC sessions,discuss.channel.rtc.session,"tree,form",0,,1
demo_pm,mail.mail_link_preview_action,Link Previews,mail.link.preview,"tree,form",0,,1
demo_pm,mail.discuss_gif_favorite_action,GIF favorite,discuss.gif.favorite,"tree,form",0,,1
demo_pm,mail.mail_activity_type_action,Activity Types,mail.activity.type,"tree,form",0,,1
demo_pm,mail.mail_activity_action,Activities,mail.activity,"tree,form",0,,1
demo_pm,mail.mail_activity_plan_action,Activity Plans,mail.activity.plan,"tree,form",0,,1
demo_pm,mail.mail_guest_action,Guests,mail.guest,"tree,form",0,,1
demo_pm,mail.mail_message_reaction_action,Message Reactions,mail.message.reaction,"tree,form",0,,1
demo_pm,mail.res_users_settings_action,User Settings,res.users.settings,"tree,form",0,,1
demo_pm,mail.action_email_template_tree_all,Email Templates,mail.template,"form,tree",0,,1
demo_pm,mail.mail_blacklist_action,Blacklisted Email Addresses,mail.blacklist,"tree,form",0,,1
demo_pm,base_tier_validation.tier_definition_action,Tier Definition,tier.definition,"tree,form",0,,1
demo_pm,base_tier_validation.tier_validation_exception_action,Tier Validation Exception,tier.validation.exception,"tree,form",0,,1
demo_pm,phone_validation.phone_blacklist_action,Blacklisted Phone Numbers,phone.blacklist,"tree,form",0,,1
demo_pm,privacy_lookup.privacy_log_action,Privacy Logs,privacy.log,"tree,form",0,,1
demo_pm,product.product_category_action_form,Product Categories,product.category,"tree,form",0,,1
demo_pm,product.product_supplierinfo_type_action,Vendor Pricelists,product.supplierinfo,"tree,form,kanban",0,,1
demo_pm,rating.rating_rating_action,Ratings,rating.rating,"kanban,tree,graph,pivot,form",0,,1
demo_pm,sms.sms_sms_action,SMS,sms.sms,"tree,form",0,,1
demo_pm,sms.sms_template_action,Templates,sms.template,"tree,form",0,,1
demo_pm,snailmail.action_mail_letters,Snailmail Letters,snailmail.letter,"form,tree",0,,1
