partner_id,partner_name,source_table,legacy_record_id,creator_name,created_time,routes,updated_fields
4049,四川保盛建设集团有限公司,C_CWSFK_GSCWSR,081e322d105943ecae2eb0c2464e4b9a,文楠,2023-11-30 10:43:09,sc.legacy.receipt.income.fact,sc_source_created_at;sc_source_created_by
5376,德阳市人力资源和社会保障局,C_CWSFK_GSCWSR,3f7666f3455e48aba51026608e795461,文楠,2024-06-21 14:34:42,sc.legacy.receipt.income.fact,sc_source_created_by
6974,钟斌,C_CWSFK_GSCWSR,6d7b7e7b9bad4ef89a3e52a17ea4702a,文楠,2020-12-14 18:21:37,sc.legacy.receipt.income.fact,sc_source_created_by
5342,德阳经济技术开发区重点工程建设中心,C_CWSFK_GSCWSR,f84bd2c2bd48460fb82b8cf959262166,文楠,2024-04-19 14:24:48,sc.legacy.receipt.income.fact,sc_source_created_by
5482,德阳市住房公积金管理中心,C_CWSFK_GSCWZC,000dfd29533c42229cb16ab1b3c7d2a9,文楠,2024-10-10 15:25:10,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
3574,四川省建设网,C_CWSFK_GSCWZC,02561aad3fea465ea886d2040249edce,文楠,2020-04-02 16:02:12,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
3038,成都玲菲家具有限公司,C_CWSFK_GSCWZC,0da2eadcceb64b519672a263105b79da,文楠,2020-07-07 12:02:23,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
4270,德阳市区华泰建材经营部,C_CWSFK_GSCWZC,0fbbdbb602dd4eadb0647ab3eb4efcc4,文楠,2021-12-24 11:08:09,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
2974,北京世标认证中心有限公司,C_CWSFK_GSCWZC,132c5bd46ff042b280badd4a77f82068,文楠,2024-07-10 16:50:34,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
3504,四川捷升企业管理咨询有限公司,C_CWSFK_GSCWZC,169eb4ac3a564b3698f76452e14d880d,李林旭,2021-08-19 16:52:55,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
5953,海南数字证书认证有限公司,C_CWSFK_GSCWZC,18034df02c9e4ac7a28cbc41216a4a2a,李林旭,2021-06-03 16:14:12,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
3316,四川成化工程项目管理有限公司,C_CWSFK_GSCWZC,195a83d661ab42b890d2c1f83391d91b,文楠,2020-03-23 15:19:15,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
4811,青海铭驰工程项目管理有限公司,C_CWSFK_GSCWZC,1af22774021747b688c2f0934a212789,李林旭,2021-05-10 10:55:15,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
4120,成都市青年企业家协会,C_CWSFK_GSCWZC,1fccd6cad3c64507b3bd1cb7513396ce,李林旭,2021-10-12 18:27:34,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
3579,贵州省招标有限公司,C_CWSFK_GSCWZC,22a18a68307e4f1bae9a222677c043db,文楠,2020-08-19 16:17:24,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
3083,德阳建设工程质量安全与监理协会,C_CWSFK_GSCWZC,26b9be5ba4f1409e8d4d3c4125242393,文楠,2022-02-18 09:59:55,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
3695,汇友财产相互保险社,C_CWSFK_GSCWZC,2765ac91e8c84001aecd978730b24c10,李林旭,2021-08-23 18:28:02,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
5130,中国核工业中原建设有限公司,C_CWSFK_GSCWZC,2859ee6e93ca431ebf603e92e83ddac7,李林旭,2022-04-02 16:23:53,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
5390,中国人民财产保险股份有限公司遂宁市分公司,C_CWSFK_GSCWZC,295c42fda25741308cb67ae98a1cc84d,文楠,2020-04-27 16:10:42,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
4177,成都衡荣企业管理有限公司,C_CWSFK_GSCWZC,29b896ba428344bca1cfa42e11529b28,文楠,2023-11-13 16:34:03,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
2984,北京筑龙信息技术有限责任公司,C_CWSFK_GSCWZC,29d89683751243c998fb8e53b9c5f8d7,李林旭,2021-02-26 14:27:12,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
3757,二重（德阳）重型装备有限公司,C_CWSFK_GSCWZC,2afc4ba870b14c5989ce859b8b7934da,李林旭,2021-06-07 11:55:43,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
5806,凉山共创招标代理有限公司,C_CWSFK_GSCWZC,2d3f653a572f4771bc9505a60d68fe31,文楠,2020-04-24 12:28:54,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
2879,祁安保险经纪有限公司,C_CWSFK_GSCWZC,39f96f2d78744a288268933e63c68dc0,李林旭,2021-06-22 11:34:19,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
4307,海南正腾工程软件有限公司,C_CWSFK_GSCWZC,3d31bfc0c659464e87590a67a8c916b1,李林旭,2021-06-03 16:13:42,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
5992,青海黄河能源工程咨询有限公司,C_CWSFK_GSCWZC,3f367e4e4b7a4739bd9b0abe00122d9c,李林旭,2021-04-23 15:30:51,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
6033,中建管建设项目管理有限公司,C_CWSFK_GSCWZC,3f9162d1673b47f7a8642656af97d6fc,李林旭,2021-05-13 16:53:36,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
4996,德阳眷巢装饰设计有限公司,C_CWSFK_GSCWZC,403ab3d2cb284023b1cdf7cd9a2383d1,李林旭,2021-02-02 18:23:20,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
6223,成都恒鼎建筑工程有限公司,C_CWSFK_GSCWZC,42f6161e808948aabb2fefea0463b5fd,李林旭,2021-04-02 16:58:18,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
5999,德阳市区信诚科技印务部,C_CWSFK_GSCWZC,44396adc78f741689023bc93c568a5ed,李林旭,2021-08-02 17:50:56,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
6358,山西嘉华建设项目管理有限公司,C_CWSFK_GSCWZC,482dcc1421084768a3bf242604ff935c,文楠,2024-05-11 16:34:50,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
4007,云账房网络科技有限公司,C_CWSFK_GSCWZC,4b7b54df7629477781708eab8c489e95,李林旭,2021-04-28 14:26:34,sc.legacy.expense.deposit.fact,sc_source_created_at;sc_source_created_by
4244,中国第二重型机械集团德阳万路运业有限公司,C_CWSFK_GSCWZC,4fc35397e42740c2b3aa422f296363dd,文楠,2024-08-14 11:16:28,sc.legacy.expense.deposit.fact,sc_source_created_by
