row_no,evidence_grade,legacy_partner_source,legacy_partner_id,partner_name,tax_number,sources,source_row_count,blockers,recommended_next_task
80,missing_tax_company_duplicate_review,cooperat_company,27af3fdab1a541888120f261ac87d78e,中国人民解放军陆军特色医学中心,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
83,missing_tax_complex_merge_review,company;supplier,15354c616f5046169ee325fd62f4c4b1,中国人民财产保险股份有限公司德阳市分公司,,company;supplier,3,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_complex_merge_review
97,missing_tax_company_supplier_pair_review,company;supplier,dcbcfa37bcf947379d5021b8da0a32d5,中国大地财产保险股份有限公司四川分公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
108,missing_tax_company_duplicate_review,cooperat_company,317dfb0a49914aedbc71a4784b85e282,中国平安财产保险股份有限公司天津分公司,,company,4,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
109,missing_tax_company_supplier_pair_review,company;supplier,caffb87d3a654c3681dd1bfc659a86bc,中国平安财产保险股份有限公司重庆分公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
110,missing_tax_company_duplicate_review,cooperat_company,269D7E9D1400424683B5F4E04C1B1A06,中国建筑一局（集团）有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
111,missing_tax_company_duplicate_review,cooperat_company,9D598AA886B8493D8143D98EF587F685,中国建筑第八工程局有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
112,missing_tax_company_duplicate_review,cooperat_company,4e1beb51a1024c5381a64cc72dcb47df,中国建筑第六工程局有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
113,missing_tax_company_duplicate_review,cooperat_company,099cc4630a5b49d09cb90f70ed8144b3,中国建筑第四工程局有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
119,missing_tax_company_duplicate_review,cooperat_company,2dc5de81fff64fda8373debaecaac98a,中国机电工程招标有限公司,,company,6,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
126,missing_tax_company_supplier_pair_review,company;supplier,519ac7a8b8354e48bef8585b044bc32c,中国石化销售股份有限公司四川攀枝花石油分公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
132,missing_tax_company_duplicate_review,cooperat_company,1459E0CA0CFD444C8B5212B596490A04,中国石油天然气第七建设有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
134,missing_tax_company_duplicate_review,cooperat_company,04a8710a44ed45328929449164d6de56,中国石油天然气股份有限公司四川销售分公司,,company,4,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
155,missing_tax_company_duplicate_review,cooperat_company,587c5af87ae14c5392b4406df6c6551c,中国第二重型机械集团(德阳)万安物业发展有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
174,missing_tax_company_supplier_pair_review,company;supplier,a991a665f42343e9a931f67d7592c4b8,中山市佰众机电有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
178,missing_tax_company_duplicate_review,cooperat_company,82931e90ee2746ae9c97b7d58d614a54,中建二局第二建筑工程有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
182,missing_tax_company_duplicate_review,cooperat_company,8d8201f8a31346cfb19f301bdba8330d,中建四局第一建设有限公司,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
187,missing_tax_company_duplicate_review,cooperat_company,36754034ace34b49a49ce21131f0541c,中惠保险经纪有限公司,,company,5,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
193,missing_tax_company_duplicate_review,cooperat_company,33395bc28e964194abc3564ec362d277,中核（上海）供应链管理有限公司,,company,5,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
195,missing_tax_company_supplier_pair_review,company;supplier,cca5534006814586b5d5ee5698aaeed1,中江俊智商贸有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
196,missing_tax_company_supplier_pair_review,company;supplier,d7b51ff0970f4972b44cb5b6d9ce2b56,中江元康建筑机械租赁有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
197,missing_tax_company_supplier_pair_review,company;supplier,3aa81367881243b7b3444ed1548c2fc0,中江准点商品砼有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
198,missing_tax_company_duplicate_review,cooperat_company,4fadd8e3f4f044d095901147547fce0a,中江凯兴建设投资有限公司,,company,3,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
199,missing_tax_company_supplier_pair_review,company;supplier,3e225c5d798f4022965150d975b3558e,中江县东北镇和盛安防产品经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
207,missing_tax_company_supplier_pair_review,company;supplier,bc2459c57cdb4f1786c7d5f4023797d4,中江县凯江镇天山五金经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
209,missing_tax_company_supplier_pair_review,company;supplier,5383afa2ba1b4df8b93f8ad814e0d555,中江县凯江镇显英建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
210,missing_tax_company_supplier_pair_review,company;supplier,4b8766aa632a4546a79ca687f9d1d054,中江县凯江镇芯维电脑经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
211,missing_tax_company_supplier_pair_review,company;supplier,fe07e70bba764bec9541710bb423e3a9,中江县凯江镇龙升玻璃经营门市部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
212,missing_tax_company_supplier_pair_review,company;supplier,ed5fbb116d6b4fe992ccb4766ab06053,中江县南华镇余枫建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
213,missing_tax_company_supplier_pair_review,company;supplier,7434d730843e443e916a6c598c554e19,中江县南华镇德利五金建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
214,missing_tax_company_supplier_pair_review,company;supplier,3dfe93691a094cd08304e5075daebdbd,中江县南华镇林瑞建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
215,missing_tax_company_supplier_pair_review,company;supplier,f160daa1a8404ad29af887b21229d86c,中江县南华镇红立建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
216,missing_tax_company_supplier_pair_review,company;supplier,cbd1ad431e3c42bba82a365265c6ce79,中江县南华镇邓成秀机械租赁服务部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
218,missing_tax_company_supplier_pair_review,company;supplier,11672d04c2ec49b892bdec3f15edd4bc,中江县宏钰页岩砖制造有限公司,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
221,missing_tax_company_duplicate_review,cooperat_company,6adbc8d2a40a40d9acd1ffe659442ee5,中江县殡仪馆,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
222,missing_tax_company_duplicate_review,cooperat_company,07ccebac69384cc8a87e22d86c26f15e,中江县水利局,,company,2,missing_tax_number;deduplicated_group_not_create_only,missing_tax_company_duplicate_review
226,missing_tax_company_supplier_pair_review,company;supplier,9fa39c5aed8840948be4250284d190ab,中江县永兴镇文博建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
227,missing_tax_company_supplier_pair_review,company;supplier,416cd14f14194f76a17a5ba2a1e7cae9,中江县永兴镇杰竣建材经营部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
228,missing_tax_company_supplier_pair_review,company;supplier,398c1df4b3e74d87b7af5e76e2885def,中江县永太镇楷鑫装饰服务部,,company;supplier,2,missing_tax_number;deduplicated_group_not_create_only;non_primary_partner_source,missing_tax_company_supplier_pair_review
