neutral_id,legacy_member_id,legacy_project_id,project_id,user_id,role_fact_status,import_batch
1,00032811652544fba3fd87810a5191c8,74a80ab7582e4672815771b3b2c10fbe,355,12,missing,ITER-2026-04-14-0030NZ
2,00132482cf5648ae860805acddc4274e,d75424f3247646c395ff5edd2ab1b1f9,637,12,missing,ITER-2026-04-14-0030NZ
3,00155cf5a08d4922b8b88a52bdf1952a,dcd315ee82ba47d6a463c3090abd9577,655,12,missing,ITER-2026-04-14-0030NZ
4,0016bbe65ef64061909babaae2c7321e,eaec532f7b9b47a4bf4c0c2989290a70,702,12,missing,ITER-2026-04-14-0030NZ
5,00183ffd192d448c9b15706704ccd94b,7c38d18f4d2e4ab6818f9527e46cce15,379,12,missing,ITER-2026-04-14-0030NZ
6,001e963bf5fc4f6b8d7e23687c1c83cc,409e165a85264d6c9e22085d02dcd09a,202,8,missing,ITER-2026-04-14-0030NZ
7,002F9A98-D361-4EF9-B876-0F9033A37367,800fb4620f6f4afca71708d0da82500f,392,8,missing,ITER-2026-04-14-0030NZ
8,00311eb5fac1498dafa7285275bbeba4,5d3979512ead4bd8a20d8053164a516a,299,8,missing,ITER-2026-04-14-0030NZ
9,003931EA-DDDE-4203-A80A-85A2448A9E85,11e56ccc546e4532a323597457133e8c,49,8,missing,ITER-2026-04-14-0030NZ
10,005082032d0f4619ab1bd1d3642aa3df,6379e48fed5748af876b694457c00a80,312,12,missing,ITER-2026-04-14-0030NZ
11,005c3ee5ada44bf087b00aef4b60b99d,dc5f03ef90a749be8e3cd19daca87163,651,12,missing,ITER-2026-04-14-0030NZ
12,005cb1ce9d1e41fe8d0decdd82fe460b,8501f263d1874d7ea4206eea6387184f,415,12,missing,ITER-2026-04-14-0030NZ
13,00610d31519c425badf9bd884a5e3ba2,c52d2b1e41f747bbb8231326c8d2d344,593,8,missing,ITER-2026-04-14-0030N
14,0065dfe147a941229fceab7894180e79,47450def75994d9899db7eef50f5c0f0,226,8,missing,ITER-2026-04-14-0030NZ
15,00793c6a853942e683036cc8bba79354,765cd5c4cb9a494187d25185290c4027,358,8,missing,ITER-2026-04-14-0030NZ
16,008F6F67-BAE3-4B0F-9D8A-CF50CB48A0C5,ec8e6e03ff4c40cfb4ce25cdddc7474e,708,8,missing,ITER-2026-04-14-0030NZ
17,0096D6CF-E93F-4A09-8C2F-5D76B5D1A299,65b2b2e4f19143b2b42e4c6f1da469a9,318,8,missing,ITER-2026-04-14-0030NZ
18,0096ee7e08e8464cbef024c7ea5e8361,80ccba31ed86452683ada4a39f2027bd,395,12,missing,ITER-2026-04-14-0030NZ
19,009725a36659408b895ecd41de7814f9,7502f0c9996a4e0893330ccf0d85661c,357,12,missing,ITER-2026-04-14-0030NZ
20,0097ca9d9ee74a47bba5cb7a47f61ad5,8501f263d1874d7ea4206eea6387184f,415,12,missing,ITER-2026-04-14-0030NZ
21,009b4494be84466fa115370f186051ee,65e7a3336fe04151962cc866422cd5fa,319,12,missing,ITER-2026-04-14-0030NZ
22,009e4a5ccbd14b56b9f8a73cfdd874b0,62b1d6342b754ae5bf6b344dc1be010e,309,8,missing,ITER-2026-04-14-0030NZ
23,00AEA167-CE7B-402D-9F59-55AD6339FBD6,39b007f2fcac4bcabaed31c907846e8b,182,8,missing,ITER-2026-04-14-0030NZ
24,00B789D2-7C01-47D3-BA2F-BF89A3DD2F0E,152f26736dd64da29f1b4f494fcfef41,62,8,missing,ITER-2026-04-14-0030NZ
25,00C7EBD5-17E5-41AF-BB8F-2ADDB1899374,784c455d3cfe45cf9b7dfdf3d752e81a,368,8,missing,ITER-2026-04-14-0030NZ
26,00b1c5f34a3f4f64bdc027373a458eba,ad21c497c9cd46f29dcf11deb58d2e0b,525,12,missing,ITER-2026-04-14-0030NZ
27,00c2f78ff5a040a1bd257b4d93778344,b69a287978ee4573b1b21768e3868581,550,8,missing,ITER-2026-04-14-0030NZ
28,00f14f9f207c4a8c9b449ef9bedfac51,e8f89b108b8e4e46b84c1d3a60233d10,694,12,missing,ITER-2026-04-14-0030NZ
29,00fef1e8d1714a3d97c251835c50f3a6,8210d117e0d14137b74221d251aba7a9,401,8,missing,ITER-2026-04-14-0030NZ
30,010ff1feb6ac42f6af84be8490701536,ade530f935bc4134a288b363dddb4b49,530,12,missing,ITER-2026-04-14-0030NZ
31,011df34afbd6457cb40e337a95a86de6,4ac61c70932e4dfa870ddf06ed5b36d2,233,8,missing,ITER-2026-04-14-0030NZ
32,0123F500-6A41-4E4C-AAA8-D5EF30E179A7,3713a6cc17f7489f8639d13701cb6376,171,8,missing,ITER-2026-04-14-0030NZ
33,01262493512c4f0097bfcc07ad22aed3,82b352940a4446beaec40efdcd1f0c34,402,14,missing,ITER-2026-04-14-0030NZ
